athletes,ID_results,discipline_title,event_title,slug_game,participant_type,medal_type,rank_position,country_name
Stefania CONSTANTINI; Amos MOSANER,1,Curling,Mixed Doubles,beijing-2022,GameTeam,GOLD,1,Italy
Kristin SKASLIEN; Magnus NEDREGOTTEN,2,Curling,Mixed Doubles,beijing-2022,GameTeam,SILVER,2,Norway
Almida DE VAL; Oskar ERIKSSON,3,Curling,Mixed Doubles,beijing-2022,GameTeam,BRONZE,3,Sweden
Jennifer DODDS; Bruce MOUAT,4,Curling,Mixed Doubles,beijing-2022,GameTeam,,4,Great Britain
Rachel HOMAN; John MORRIS,5,Curling,Mixed Doubles,beijing-2022,GameTeam,,5,Canada
Zuzana HAJKOVA; Tomas PAUL,6,Curling,Mixed Doubles,beijing-2022,GameTeam,,6,Czech Republic
Jenny PERRET; Martin RIOS,7,Curling,Mixed Doubles,beijing-2022,GameTeam,,7,Switzerland
Vicky PERSINGER; Christopher PLYS,8,Curling,Mixed Doubles,beijing-2022,GameTeam,,8,United States of America
Suyuan FAN; Zhi LING,9,Curling,Mixed Doubles,beijing-2022,GameTeam,,9,People's Republic of China
Tahli GILL; Dean HEWITT,10,Curling,Mixed Doubles,beijing-2022,GameTeam,,10,Australia
Nick BAUMGARTNER; Lindsey JACOBELLIS,558,Snowboard,Mixed Team Snowboard Cross,beijing-2022,GameTeam,GOLD,1,United States of America
Omar VISINTIN; Michela MOIOLI,559,Snowboard,Mixed Team Snowboard Cross,beijing-2022,GameTeam,SILVER,2,Italy
Eliot GRONDIN; Meryeta ODINE,560,Snowboard,Mixed Team Snowboard Cross,beijing-2022,GameTeam,BRONZE,3,Canada
Lorenzo SOMMARIVA; Caterina CARPANO,561,Snowboard,Mixed Team Snowboard Cross,beijing-2022,GameTeam,,4,Italy
Martin NOERL; Jana FISCHER,562,Snowboard,Mixed Team Snowboard Cross,beijing-2022,GameTeam,,5,Germany
Huw NIGHTINGALE; Charlotte BANKES,563,Snowboard,Mixed Team Snowboard Cross,beijing-2022,GameTeam,,6,Great Britain
Kalle KOBLET; Sophie HEDIGER,564,Snowboard,Mixed Team Snowboard Cross,beijing-2022,GameTeam,,7,Switzerland
Daniil DONSKIKH; Kristina PAUL,565,Snowboard,Mixed Team Snowboard Cross,beijing-2022,GameTeam,,8,ROC
Cameron BOLTON; Belle BROCKHOFF,566,Snowboard,Mixed Team Snowboard Cross,beijing-2022,GameTeam,,9,Australia
Liam MOFFATT; Tess CRITCHLOW,567,Snowboard,Mixed Team Snowboard Cross,beijing-2022,GameTeam,,9,Canada
Loan BOZZOLO; Julia PEREIRA DE SOUSA MABILEAU,568,Snowboard,Mixed Team Snowboard Cross,beijing-2022,GameTeam,,9,France
Jake VEDDER; Faye GULINI,569,Snowboard,Mixed Team Snowboard Cross,beijing-2022,GameTeam,,9,United States of America
Alessandro HAEMMERLE; Pia ZERKHOLD,570,Snowboard,Mixed Team Snowboard Cross,beijing-2022,GameTeam,,13,Austria
Merlin SURGET; Chloe TRESPEUCH,571,Snowboard,Mixed Team Snowboard Cross,beijing-2022,GameTeam,,13,France
Adam LAMBERT; Josie BAFF,572,Snowboard,Mixed Team Snowboard Cross,beijing-2022,GameTeam,,13,Australia
Boyang JIN; Yi ZHU,993,Figure skating,Team Event,beijing-2022,GameTeam,,5,People's Republic of China
Boyang JIN; Yi ZHU,994,Figure skating,Team Event,beijing-2022,GameTeam,,6,Georgia
Boyang JIN; Yi ZHU,995,Figure skating,Team Event,beijing-2022,GameTeam,,7,Italy
Boyang JIN; Yi ZHU,996,Figure skating,Team Event,beijing-2022,GameTeam,,8,Czech Republic
Paul FENTZ; Nicole SCHOTT,997,Figure skating,Team Event,beijing-2022,GameTeam,,9,Germany
Paul FENTZ; Nicole SCHOTT,998,Figure skating,Team Event,beijing-2022,GameTeam,,10,Ukraine
Wenjing SUI; Cong HAN,999,Figure skating,Pair Skating,beijing-2022,GameTeam,GOLD,1,People's Republic of China
Evgenia TARASOVA; Vladimir MOROZOV,1000,Figure skating,Pair Skating,beijing-2022,GameTeam,SILVER,2,ROC
Anastasia MISHINA; Aleksandr GALLIAMOV,1001,Figure skating,Pair Skating,beijing-2022,GameTeam,BRONZE,3,ROC
Aleksandra BOIKOVA; Dmitrii KOZLOVSKII,1002,Figure skating,Pair Skating,beijing-2022,GameTeam,,4,ROC
Cheng PENG; Yang JIN,1003,Figure skating,Pair Skating,beijing-2022,GameTeam,,5,People's Republic of China
Alexa SCIMECA KNIERIM; Brandon FRAZIER,1004,Figure skating,Pair Skating,beijing-2022,GameTeam,,6,United States of America
Riku MIURA; Ryuichi KIHARA,1005,Figure skating,Pair Skating,beijing-2022,GameTeam,,7,Japan
Ashley CAIN-GRIBBLE; Timothy LEDUC,1006,Figure skating,Pair Skating,beijing-2022,GameTeam,,8,United States of America
Karina SAFINA; Luka BERULAVA,1007,Figure skating,Pair Skating,beijing-2022,GameTeam,,9,Georgia
Kirsten MOORE-TOWERS; Michael MARINARO,1008,Figure skating,Pair Skating,beijing-2022,GameTeam,,10,Canada
Laura BARQUERO; Marco ZANDRON,1009,Figure skating,Pair Skating,beijing-2022,GameTeam,,11,Spain
Vanessa JAMES; Eric RADFORD,1010,Figure skating,Pair Skating,beijing-2022,GameTeam,,12,Canada
Nicole DELLA MONICA; Matteo GUARISE,1011,Figure skating,Pair Skating,beijing-2022,GameTeam,,13,Italy
Rebecca GHILARDI; Filippo AMBROSINI,1012,Figure skating,Pair Skating,beijing-2022,GameTeam,,14,Italy
Hailey KOPS; Evgeni KRASNOPOLSKI,1013,Figure skating,Pair Skating,beijing-2022,GameTeam,,15,Israel
Minerva Fabienne HASE; Nolan SEEGERT,1014,Figure skating,Pair Skating,beijing-2022,GameTeam,,16,Germany
Jelizaveta  UKOV ; Martin BIDA?,1015,Figure skating,Pair Skating,beijing-2022,GameTeam,,17,Czech Republic
Miriam ZIEGLER; Severin KIEFER,1016,Figure skating,Pair Skating,beijing-2022,GameTeam,,18,Austria
Ioulia CHTCHETININA; Mark MAGYAR,1017,Figure skating,Pair Skating,beijing-2022,GameTeam,,WDR,Hungary
Gabriella PAPADAKIS; Guillaume CIZERON,1018,Figure skating,Ice Dance,beijing-2022,GameTeam,GOLD,1,France
Victoria SINITSINA; Nikita KATSALAPOV,1019,Figure skating,Ice Dance,beijing-2022,GameTeam,SILVER,2,ROC
Madison HUBBELL; Zachary DONOHUE,1020,Figure skating,Ice Dance,beijing-2022,GameTeam,BRONZE,3,United States of America
Madison CHOCK; Evan BATES,1021,Figure skating,Ice Dance,beijing-2022,GameTeam,,4,United States of America
Charlene GUIGNARD; Marco FABBRI,1022,Figure skating,Ice Dance,beijing-2022,GameTeam,,5,Italy
Alexandra STEPANOVA; Ivan BUKIN,1023,Figure skating,Ice Dance,beijing-2022,GameTeam,,6,ROC
Piper GILLES; Paul POIRIER,1024,Figure skating,Ice Dance,beijing-2022,GameTeam,,7,Canada
Olivia Sophie Smart; Adrian DIAZ,1025,Figure skating,Ice Dance,beijing-2022,GameTeam,,8,Spain
Laurence FOURNIER-BEAUDRY; Nikolaj S RENSEN,1026,Figure skating,Ice Dance,beijing-2022,GameTeam,,9,Canada
Lilah FEAR; Lewis GIBSON,1027,Figure skating,Ice Dance,beijing-2022,GameTeam,,10,Great Britain
Kaitlin HAWAYEK; Jean-Luc BAKER,1028,Figure skating,Ice Dance,beijing-2022,GameTeam,,11,United States of America
Shiyue WANG; Xinyu LIU,1029,Figure skating,Ice Dance,beijing-2022,GameTeam,,12,People's Republic of China
Marjorie LAJOIE; Zachary LAGHA,1030,Figure skating,Ice Dance,beijing-2022,GameTeam,,13,Canada
Diana DAVIS; Gleb SMOLKIN,1031,Figure skating,Ice Dance,beijing-2022,GameTeam,,14,ROC
Juulia TURKKILA; Matthias VERSLUIS,1032,Figure skating,Ice Dance,beijing-2022,GameTeam,,15,Finland
Nat lie TASCHLEROV ; Filip TASCHLER,1033,Figure skating,Ice Dance,beijing-2022,GameTeam,,16,Czech Republic
Natalia KALISZEK; Maksym SPODYRIEV,1034,Figure skating,Ice Dance,beijing-2022,GameTeam,,17,Poland
Tina GARABEDIAN; Simon PROULX SENECAL,1035,Figure skating,Ice Dance,beijing-2022,GameTeam,,18,Armenia
Maria KAZAKOVA; Georgy REVIYA,1036,Figure skating,Ice Dance,beijing-2022,GameTeam,,19,Georgia
Maria KAZAKOVA; Georgy REVIYA,1037,Figure skating,Ice Dance,beijing-2022,GameTeam,,20,Ukraine
Katharina MUELLER; Tim DIECK,1038,Figure skating,Ice Dance,beijing-2022,GameTeam,,21,Germany
Misato KOMATSUBARA; Tim KOLETO,1039,Figure skating,Ice Dance,beijing-2022,GameTeam,,22,Japan
Paulina RAMANAUSKAITE; Deividas KIZALA,1040,Figure skating,Ice Dance,beijing-2022,GameTeam,,23,Lithuania
Tobias WENDL; Tobias ARLT,1101,Luge,Doubles,beijing-2022,GameTeam,GOLD,1,Germany
Toni EGGERT; Sascha BENECKEN,1102,Luge,Doubles,beijing-2022,GameTeam,SILVER,2,Germany
Thomas STEU; Lorenz KOLLER,1103,Luge,Doubles,beijing-2022,GameTeam,BRONZE,3,Austria
Martins BOTS; Roberts PLUME,1104,Luge,Doubles,beijing-2022,GameTeam,,4,Latvia
Andris SICS; Juris SICS,1105,Luge,Doubles,beijing-2022,GameTeam,,5,Latvia
Emanuel RIEDER; Simon KAINZWALDNER,1106,Luge,Doubles,beijing-2022,GameTeam,,6,Italy
Tristan WALKER; Justin SNITH,1107,Luge,Doubles,beijing-2022,GameTeam,,7,Canada
Aleksandr DENISEV; Vladislav ANTONOV,1108,Luge,Doubles,beijing-2022,GameTeam,,8,ROC
Wojciech CHMIELEWSKI; Jakub KOWALEWSKI,1109,Luge,Doubles,beijing-2022,GameTeam,,9,Poland
Andrei BOGDANOV; Iurii PROKHOROV,1110,Luge,Doubles,beijing-2022,GameTeam,,10,ROC
