ID_medals,discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,athlete_full_name,country_name,ID_hosts,ID_athletes,
1,Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Stefania CONSTANTINI,Italy,1,65040,
2,Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Amos MOSANER,Italy,1,65041,
3,Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Kristin SKASLIEN,Norway,1,65042,
4,Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Magnus NEDREGOTTEN,Norway,1,65043,
5,Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Almida DE VAL,Sweden,1,65044,
6,Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Oskar ERIKSSON,Sweden,1,65045,
7,Freestyle Skiing,beijing-2022,Men's Moguls,Men,SILVER,Athlete,Mikael KINGSBURY,Canada,1,17,
8,Freestyle Skiing,beijing-2022,Men's Moguls,Men,GOLD,Athlete,Walter WALLBERG,Sweden,1,19,
9,Freestyle Skiing,beijing-2022,Men's Moguls,Men,BRONZE,Athlete,Ikuma HORISHIMA,Japan,1,7,
10,Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,GOLD,Athlete,Nico PORTEOUS,New Zealand,1,35,
11,Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,SILVER,Athlete,David WISE,United States of America,1,37,
12,Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,BRONZE,Athlete,Alex FERREIRA,United States of America,1,42,
13,Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,BRONZE,Athlete,Henrik HARLAUT,Sweden,1,71,
14,Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,GOLD,Athlete,Birk RUUD,Norway,1,60,
15,Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,SILVER,Athlete,Colby STEVENSON,United States of America,1,74,
16,Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,BRONZE,Athlete,Sergey RIDZIK,ROC,1,87,
17,Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,SILVER,Athlete,Alex FIVA,Switzerland,1,91,
18,Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,GOLD,Athlete,Ryan REGEZ,Switzerland,1,101,
19,Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,BRONZE,Athlete,Mathilde GREMAUD,Switzerland,1,128,
20,Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,GOLD,Athlete,Ailing Eileen GU,People's Republic of China,1,120,
21,Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,SILVER,Athlete,Tess LEDEUX,France,1,125,
22,Freestyle Skiing,beijing-2022,Women's Moguls,Women,SILVER,Athlete,Jaelin KAUF,United States of America,1,162,
23,Freestyle Skiing,beijing-2022,Women's Moguls,Women,GOLD,Athlete,Jakara ANTHONY,Australia,1,143,
24,Freestyle Skiing,beijing-2022,Women's Moguls,Women,BRONZE,Athlete,Anastasiia SMIRNOVA,ROC,1,161,
25,Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,SILVER,Athlete,Marielle THOMPSON,Canada,1,195,
26,Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,GOLD,Athlete,Sandra NAESLUND,Sweden,1,173,
27,Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,BRONZE,Athlete,Daniela MAIER,Germany,1,178,
28,Freestyle Skiing,beijing-2022,Men's Aerials,Men,BRONZE,Athlete,Ilia BUROV,ROC,1,198,
29,Freestyle Skiing,beijing-2022,Men's Aerials,Men,GOLD,Athlete,Guangpu QI,People's Republic of China,1,207,
30,Freestyle Skiing,beijing-2022,Men's Aerials,Men,SILVER,Athlete,Oleksandr ABRAMENKO,Ukraine,1,203,
31,Freestyle Skiing,beijing-2022,Women's Aerials,Women,SILVER,Athlete,Hanna HUSKOVA,Belarus,1,222,
32,Freestyle Skiing,beijing-2022,Women's Aerials,Women,GOLD,Athlete,Mengtao XU,People's Republic of China,1,227,
33,Freestyle Skiing,beijing-2022,Women's Aerials,Women,BRONZE,Athlete,Megan NICK,United States of America,1,230,
34,Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,SILVER,Athlete,Cassie SHARPE,Canada,1,259,
